div,season,date,team,gameno,home,points,goals,team_opponent,points_opponent,goals_opponent,manager_id,manager_name,caretaker,date_from,date_until,hometeam_uid,awayteam_uid,points_lastseason
E0,2008,2009-01-10,Bolton,21,0,0,0,Arsenal,3,1,81,Gary Megson,0,25oct2007,30dec2009,1,6,37
E0,2008,2008-11-15,Chelsea,13,0,3,3,West Brom,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,33,11,85
E0,2008,2008-11-22,Chelsea,14,1,1,0,Newcastle,1,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,22,85
E0,2008,2008-09-21,Chelsea,5,1,1,1,Man United,1,1,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,20,85
E0,2008,2008-12-22,Chelsea,18,0,1,0,Everton,1,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,13,11,85
E0,2008,2009-01-17,Chelsea,22,1,3,2,Stoke,0,1,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,28,85
E0,2008,2008-08-24,Chelsea,2,0,3,1,Wigan,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,35,11,85
E0,2008,2008-09-27,Chelsea,6,0,3,2,Stoke,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,28,11,85
E0,2008,2009-04-22,Chelsea,33,1,1,0,Everton,1,0,95,Guus Hiddink,1,16feb2009,31may2009,11,13,85
E0,2008,2008-11-01,Chelsea,11,1,3,5,Sunderland,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,29,85
E0,2008,2008-10-05,Chelsea,7,1,3,2,Aston Villa,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,2,85
E0,2008,2008-08-17,Chelsea,1,1,3,4,Portsmouth,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,24,85
E0,2008,2009-02-28,Chelsea,27,1,3,2,Wigan,0,1,95,Guus Hiddink,1,16feb2009,31may2009,11,35,85
E0,2008,2008-10-26,Chelsea,9,1,0,0,Liverpool,3,1,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,18,85
E0,2008,2008-12-06,Chelsea,16,0,3,2,Bolton,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,6,11,85
E0,2008,2009-03-21,Chelsea,30,0,0,0,Tottenham,3,1,95,Guus Hiddink,1,16feb2009,31may2009,31,11,85
E0,2008,2008-11-09,Chelsea,12,0,3,2,Blackburn,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,4,11,85
E0,2008,2008-12-14,Chelsea,17,1,1,1,West Ham,1,1,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,34,85
E0,2008,2009-01-11,Chelsea,21,0,0,0,Man United,3,3,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,20,11,85
E0,2008,2009-02-07,Chelsea,25,1,1,0,Hull,1,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,16,85
E0,2008,2008-12-26,Chelsea,19,1,3,2,West Brom,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,33,85
E0,2008,2009-02-21,Chelsea,26,0,3,1,Aston Villa,0,0,95,Guus Hiddink,1,16feb2009,31may2009,2,11,85
E0,2008,2008-10-18,Chelsea,8,0,3,5,Middlesbrough,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,21,11,85
E0,2008,2008-09-13,Chelsea,4,0,3,3,Man City,0,1,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,19,11,85
E0,2008,2009-04-25,Chelsea,34,0,3,1,West Ham,0,0,95,Guus Hiddink,1,16feb2009,31may2009,34,11,85
E0,2008,2008-10-29,Chelsea,10,0,3,3,Hull,0,0,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,16,11,85
E0,2008,2009-04-04,Chelsea,31,0,3,2,Newcastle,0,0,95,Guus Hiddink,1,16feb2009,31may2009,22,11,85
E0,2008,2008-12-28,Chelsea,20,0,1,2,Fulham,1,2,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,14,11,85
E0,2008,2008-11-30,Chelsea,15,1,0,1,Arsenal,3,2,137,Luiz Felipe Scolari,0,01jul2008,09feb2009,11,1,85
E0,2008,2009-05-17,Chelsea,37,1,3,2,Blackburn,0,0,95,Guus Hiddink,1,16feb2009,31may2009,11,4,85
